CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LC50 (mg/L),Averaged LC50 (mol/L),-LOG10(mol/L),contains_metal
571-61-9,"1,5-Dimethylnaphthalene",Cc1cccc2c(C)cccc12,156.228,5,3.20045E-05,4.494788869,FALSE
87-65-0,"2,6-Dichlorophenol",Oc1c(Cl)cccc1Cl,163.003,19.35,0.000118709,3.925514628,FALSE
117-81-7,"1,2-Benzenedicarboxylic acid, 1,2-Bis(2-ethylhexyl)ester",CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,390.5640000000003,0.32,8.19328E-07,6.086542232,FALSE
58-90-2,"2,3,4,6-Tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl,231.89299999999997,5.699999999999999,2.45803E-05,4.609412783,FALSE
80-05-7,"4,4'-(1-Methylethylidene)bisphenol",CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,228.291,2.7,1.1827E-05,4.927125026,FALSE
137-26-8,"N,N,N',N'-Tetramethylthioperoxydicarbonic diamide ([(H2N)C(S)]2S2)",CN(C)C(=S)SSC(=S)N(C)C,240.44400000000002,2.5,1.03974E-05,4.983073936,FALSE
2782-91-4,"N,N,N',N'-Tetramethylthiourea",CN(C)C(=S)N(C)C,132.232,1800,0.013612439,1.866064062,FALSE
634-67-3,"2,3,4-Trichloroaniline",Nc1ccc(Cl)c(Cl)c1Cl,196.464,1.7,8.65298E-06,5.062834061,FALSE
632-22-4,"N,N,N',N'-Tetramethylurea",CN(C)C(=O)N(C)C,116.16399999999999,3200,0.027547261,1.55992158,FALSE
2556-42-5,Tetrapropylthioperoxydicarbonic diamide,CCCN(CCC)C(=S)SSC(=S)N(CCC)CCC,352.6600000000002,32,9.0739E-05,4.042206225,FALSE
1313-82-2,Sodium sulfide (Na2S),[Na+].[Na+].[SH-],79.05499999999999,75,0.000948707,3.02286808,FALSE
100-61-8,N-Methylaniline,CNc1ccccc1,107.15599999999998,91,0.000849229,3.070975101,FALSE
120-93-4,2-Imidazolidinone,O=C1NCCN1,86.09400000000001,16,0.000185843,3.730852903,FALSE
56961-20-7,"3,4,5-Trichlorocatechol",Oc1cc(Cl)c(Cl)c(Cl)c1O,213.447,0.25613712,1.2E-06,5.920817533,FALSE
6190-65-4,"6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine",CC(C)Nc1nc(N)nc(Cl)n1,187.63400000000001,3.4799999999999995,1.85467E-05,4.731732293,FALSE
71-43-2,Benzene,c1ccccc1,78.11399999999999,449.4,0.00575313,2.240095809,FALSE
107-15-3,"1,2-Ethanediamine",NCCN,60.09999999999999,100,0.001663894,2.778874472,FALSE
120-82-1,"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,181.449,8.4,4.6294E-05,4.334475293,FALSE
7778-43-0,"Arsenic acid (H3AsO4), Disodium salt",[Na+].O[As](O)(O)=O,164.93200000000002,32.76625,0.000198665,3.701878185,FALSE
108-88-3,Methylbenzene,Cc1ccccc1,92.14099999999999,100.475,0.001090448,2.962394906,FALSE
106-47-8,4-Chlorobenzenamine,Nc1ccc(Cl)cc1,127.574,3.25,2.54754E-05,4.593878812,FALSE
13410-01-0,"Selenic acid, sodium salt (1:2)",[Na+].[Na+].[O-][Se]([O-])(=O)=O,188.93599999999998,2.2787499999999996,1.2061E-05,4.918618035,FALSE
576-24-9,"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,163.003,5,3.06743E-05,4.513225593,FALSE
148-01-6,"2-Methyl-3,5-dinitrobenzamide",Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(N)=O,225.15999999999997,120,0.000532954,3.273309994,FALSE
3397-62-4,"6-Chloro-1,3,5-triazine-2,4-diamine",Nc1nc(N)nc(Cl)n1,145.553,9.16,6.29324E-05,4.201125687,FALSE
67-56-1,Methanol,CO,32.042,2.995,9.34711E-05,4.029322789,FALSE
3978-67-4,"3,4-Dichloropyrocatechol",Oc1ccc(Cl)c(Cl)c1O,179.002,0.25060364,1.4E-06,5.853870509,FALSE
10102-18-8,"Selenious acid, Sodium salt (1:2)",[Na+].[Na+].[O-][Se]([O-])=O,172.93699999999998,81,0.000468379,3.329402902,FALSE
106-48-9,4-Chlorophenol,Oc1ccc(Cl)cc1,128.558,33.5,0.000260583,3.5840543,FALSE
2164-17-2,"N,N-Dimethyl-N'-[3-(trifluoromethyl)phenyl]urea",CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,232.20499999999996,0.5456824549999999,2.35E-06,5.628931577,FALSE
95-77-2,"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,163.00300000000001,3.2,1.96315E-05,4.707045619,FALSE
106-42-3,"1,4-Dimethylbenzene",Cc1ccc(C)cc1,106.16799999999999,3.8000000000000003,3.57923E-05,4.44621004,FALSE
67-45-8,3-[[(5-Nitro-2-furanyl)methylene]amino]-2-oxazolidinone,[O-][N+](=O)c1oc(cc1)\C=N\N2CCOC2=O,225.15999999999994,1.3,5.77367E-06,5.238547888,FALSE
60-51-5,"O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl]phosphorodithioic acid ester",CNC(=O)CS[P](=S)(OC)OC,229.26299999999998,269.9166666666667,0.001177323,2.929104269,FALSE
121-14-2,"2,4-Dinitrotoluene",Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,182.135,1.038,5.69907E-06,5.244196057,FALSE
1194-65-6,"2,6-Dichlorobenzonitrile",Clc1cccc(Cl)c1C#N,172.01399999999998,2.7,1.56964E-05,4.804200031,FALSE
99-99-0,1-Methyl-4-nitrobenzene,Cc1ccc(cc1)[N+]([O-])=O,137.138,22,0.000160422,3.794735131,FALSE
1007-28-9,"6-Chloro-N-ethyl-1,3,5-triazine-2,4-diamine",CCNc1nc(N)nc(Cl)n1,173.60700000000003,6.941916666666668,3.99864E-05,4.398087836,FALSE
95-47-6,"1,2-Xylene",Cc1ccccc1C,106.16799999999999,21.3,0.000200625,3.697614033,FALSE
110-54-3,Hexane,CCCCCC,86.178,3.3125,3.84379E-05,4.415240524,FALSE
131-52-2,"2,3,4,5,6-Pentachlorophenol sodium salt (1:1)",[Na+].[O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,288.32,0.775,2.68799E-06,5.570573067,FALSE
68-12-2,"N,N-Dimethylformamide",CN(C)C=O,73.095,0.41,5.60914E-06,5.251103814,FALSE
95-53-4,2-Methylbenzenamine,Cc1ccccc1N,107.156,55,0.00051327,3.289653804,FALSE
