CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LC50 (ug/org),Averaged LC50 (mol/org),-log10(mol/org),contains_metal
333-41-5,"O,O-Diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester phosphorothioic acid",CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,304.35200000000003,0.1289782428571428,4.237798432641902e-10,3.3728597039898287,False
330-55-2,"N'-(3,4-Dichlorophenyl)-N-methoxy-N-methylurea",CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,249.097,120.86,4.851925153655002e-07,0.3140859072294831,False
137-26-8,"N,N,N',N'-Tetramethylthioperoxydicarbonic diamide ([(H2N)C(S)]2S2)",CN(C)C(=S)SSC(=S)N(C)C,240.444,1036.86,4.3122722962519335e-06,-0.6347061763498204,False
98-01-1,2-Furancarboxaldehyde,O=Cc1occc1,96.08499999999998,100.0,1.0407451735442575e-06,-0.0173444055228252,False
143390-89-0,(alphaE)-alpha-(Methoxyimino)-2-[(2-methylphenoxy)methyl]benzeneacetic acid methyl ester,CO\N=C(C(=O)OC)/c1ccccc1COc2ccccc2C,313.353,25.0,7.978222643472377e-08,1.0980938482615392,False
88671-89-0,"alpha-Butyl-alpha-(4-chlorophenyl)-1H-1,2,4-triazole-1-propanenitrile",CCCCC(Cn1cncn1)(C#N)c2ccc(Cl)cc2,288.78200000000004,500.0,1.731409852414624e-06,-0.2383998844976219,False
13457-18-6,"2-[(Diethoxyphosphinothionyl)oxy]-5-methylpyrazolo[1,5-a]pyrimidine-6-carboxylic acid ethyl ester",CCOC(=O)c1cn2nc(O[P](=S)(OCC)OCC)cc2nc1C,373.37100000000015,1.85,4.954857233154153e-09,2.304968854548353,False
950-37-8,"Phosphorodithioic acid S-[(5-methoxy-2-oxo-1,3,4-thiadiazol-3(2H)yl)methyl] O,O-dimethyl ester",COC1=NN(CS[P](=S)(OC)OC)C(=O)S1,302.339,0.2644285714285714,8.746095324406423e-10,3.05818579355438,False
24017-47-8,"O,O-Diethyl O-(1-phenyl-1H-1,2,4-triazol-3-yl) phosphorothioate",CCO[P](=S)(OCC)Oc1ncn(n1)c2ccccc2,313.319,0.1323333333333333,4.22359746243711e-10,3.374317479719702,False
107-49-3,Tetraethyl ester diphosphoric acid,CCO[P](=O)(OCC)O[P](=O)(OCC)OCC,290.189,0.0015,5.169045001705784e-12,5.286589686848091,False
121552-61-2,4-Cyclopropyl-6-methyl-N-phenyl-2-pyrimidinamine,Cc1cc(nc(Nc2ccccc2)n1)C3CC3,225.295,784.0,3.4798819325772873e-06,-0.5415645092051935,False
111991-09-4,"2-[[[[(4,6-Dimethoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]-N,N-dimethyl-3-pyridinecarboxamide",COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2ncccc2C(=O)N(C)C)n1,410.41200000000015,20.0,4.8731518571581705e-08,1.3121900549231909,False
117-80-6,"2,3-Dichloro-1,4-naphthalenedione",ClC1=C(Cl)C(=O)c2ccccc2C1=O,227.046,7.25,3.1931855218766244e-08,1.4957758485176549,False
72-56-0,"1,1'-(2,2-Dichloroethylidene)bis[4-ethylbenzene",CCc1ccc(cc1)C(C(Cl)Cl)c2ccc(CC)cc2,307.26400000000007,4.47,1.4547750468652362e-08,1.8372041568211168,False
16672-87-0,(2-Chloroethyl)phosphonic acid,O[P](O)(=O)CCCl,144.494,76.19666666666667,5.27334468328558e-07,0.2779138408140743,False
26644-46-2,"N,N'-[1,4-Piperazinediylbis(2,2,2-trichloroethylidene)]bis-formamide",ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,434.966,100.0,2.2990302690325217e-07,0.6384553107719309,False
173584-44-6,"(4aS)-7-Chloro-2,5-dihydro-2-[[(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]amino]carbonyl]indeno[1,2-e][1,3,4]oxadiazine-4a(3H)-carboxylic acid methyl ester",COC(=O)N(C(=O)N1CO[C@]2(Cc3cc(Cl)ccc3C2=N1)C(=O)OC)c4ccc(OC(F)(F)F)cc4,527.8390000000003,3.9745166666666663,7.529789702289266e-09,2.1232171529375066,False
60207-90-1,"1-[[2-(2,4-Dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1H-1,2,4-triazole",CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,342.2260000000001,54.52857142857143,1.5933497580128748e-07,0.7976888812596816,False
112281-77-3,"1-[2-(2,4-Dichlorophenyl)-3-(1,1,2,2-tetrafluoroethoxy)propyl]-1H-1,2,4-triazole",FC(F)C(F)(F)OCC(Cn1cncn1)c2ccc(Cl)cc2Cl,372.1490000000001,7.695,2.067720187344316e-08,1.6845082321711,False
120068-37-3,"5-Amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)sulfinyl]-1H-pyrazole-3-carbonitrile",Nc1n(nc(C#N)c1[S](=O)C(F)(F)F)c2c(Cl)cc(cc2Cl)C(F)(F)F,437.152,0.0744961538461538,1.7041247402769254e-10,3.768498618471227,False
57754-85-5,"3,6-Dichloro-2-pyridinecarboxylic acid compd. with 2-aminoethanol (1:1)",NCCO.OC(=O)c1nc(Cl)ccc1Cl,253.085,100.0,3.9512416776972164e-07,0.403266405884153,False
122-10-1,"3-[(Dimethoxyphosphinyl)oxy]-2-pentenedioic acid, Dimethyl ester",COC(=O)C\C(O[P](=O)(OC)OC)=C\C(=O)OC,282.185,0.743,2.633024434324999e-09,2.57954511064582,False
220899-03-6,"(3-Bromo-6-methoxy-2-methylphenyl)(2,3,4-trimethoxy-6-methylphenyl)methanone",COc1ccc(Br)c(C)c1C(=O)c2c(C)cc(OC)c(OC)c2OC,409.2760000000002,83.14,2.0313920190775898e-07,0.6922062581345785,False
973-21-7,"Carbonic acid 1-methylethyl 2-(1-methylpropyl)-4,6-dinitrophenyl ester",CCC(C)c1cc(cc(c1OC(=O)OC(C)C)[N+]([O-])=O)[N+]([O-])=O,326.30500000000006,48.42,1.4838877737086465e-07,0.8285989434654052,False
69409-94-5,N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,502.9200000000002,0.9533333333333333,1.895596383785359e-09,2.722254128472089,False
103055-07-8,"N-[[[2,5-Dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl]amino]carbonyl]-2,6-difluorobenzamide",FC(C(F)(F)F)C(F)(F)Oc1cc(Cl)c(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl,511.15200000000016,0.4,7.825460919648164e-10,3.106490073083171,False
60-51-5,"O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl]phosphorodithioic acid ester",CNC(=O)CS[P](=S)(OC)OC,229.263,0.3134844444444444,1.3673573339110299e-09,2.86411797565442,False
56-38-2,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,291.26500000000004,0.10225,3.5105488129366717e-10,3.4546249838765193,False
21609-90-5,"p-Phenylphosphonothioic acid, O-(4-Bromo-2,5-dichlorophenyl) O-methyl ester",CO[P](=S)(Oc1cc(Cl)c(Br)cc1Cl)c2ccccc2,412.07200000000006,2.19,5.314605214622686e-09,2.27452899068514,False
64902-72-3,"2-Chloro-N-[[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)amino]carbonyl]benzenesulfonamide",COc1nc(C)nc(NC(=O)N[S](=O)(=O)c2ccccc2Cl)n1,357.77900000000005,25.0,6.987553769226254e-08,1.155674837196624,False
52315-07-8,"3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester",CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,416.30400000000014,0.2026875,4.868737749337022e-10,3.3125836177488597,False
1344-81-6,Calcium sulfide (Ca(Sx)),S.[Ca++],74.161,25.0,3.3710440797723866e-07,0.4722355686072541,False
52-85-7,"O-[4[(Dimethylamino)sulfonyl]phenyl]O,O-dimethylester phosphorothioic acid",CO[P](=S)(OC)Oc1ccc(cc1)[S](=O)(=O)N(C)C,325.34800000000007,0.417,1.2817045133211203e-09,2.892212086381553,False
420-04-2,Cyanamide,NC#N,42.041,36.2,8.610641992340811e-07,0.0649644672064054,False
63-25-2,1-Naphthalenol methylcarbamate,CNC(=O)Oc1cccc2ccccc12,201.225,2.456337931034483,1.2206922256352256e-08,1.9133938213601016,False
