CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LD50 (g/kg),Averaged LD50 (mol/kg),-log10(mol/kg)
133073,"2-[(Trichloromethyl)thio]-1H-isoindole-1,3(2H)dione",ClC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O,296.56200000000007,0.0684,0.0002306431707366,3.637059400172564
349951,4-(Trifluoromethyl)benzenemethanol,OCc1ccc(cc1)C(F)(F)F,176.13699999999994,1.7,0.0096515780330083,2.015401673702949
10265926,"Phosphoramidothioic acid, O,S-Dimethyl ester",CO[P](N)(=O)SC,141.132,0.0125499999999999,8.892384434430178e-05,4.05941917960141
1711075,3-Fluorobenzoyl chloride,Fc1cccc(c1)C(Cl)=O,158.559,2.4,0.0151363214954685,1.819979656429522
63252,1-Naphthalenol methylcarbamate,CNC(=O)Oc1cccc2ccccc12,201.225,0.6083333333333333,0.0030231498736903,2.5252181703718697
123319,"1,4-Benzenediol",Oc1ccc(O)cc1,110.11199999999998,0.3724333333333333,0.0033823137653782,2.4708068296739256
1929733,"2-(2,4-Dichlorophenoxy)acetic acid, 2-Butoxyethyl ester",CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,321.20000000000005,0.5645,0.0017574719800747,2.755111760705253
88671890,"alpha-Butyl-alpha-(4-chlorophenyl)-1H-1,2,4-triazole-1-propanenitrile",CCCCC(Cn1cncn1)(C#N)c2ccc(Cl)cc2,288.78200000000004,1.4500000000000002,0.0050210885720024,2.301538452357016
62737,"Phosphoric acid 2,2-dichloroethenyl dimethyl ester",CO[P](=O)(OC)OC=C(Cl)Cl,220.976,0.0292115384615384,0.0001321932628952,4.009303274196398
14959865,Looplure,CCCC\C=C/CCCCCCOC(C)=O,226.35999999999993,13.43,0.059330270365789,1.226723672594575
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,291.26500000000004,0.0121,4.1542924827905856e-05,4.420397591651128
13171216,"Phosphoric acid, 2-Chloro-3-(diethylamino)-1-methyl-3-oxo-1-propen-1-yl dimethyl ester",CCN(CC)C(=O)\C(Cl)=C(/C)O[P](=O)(OC)OC,299.69100000000003,0.011,3.670447227310796e-05,4.435281015715258
91203,Naphthalene,c1ccc2ccccc2c1,128.17399999999995,1.78,0.0138873718538861,1.8573799354971177
330541,"N'-(3,4-Dichlorophenyl)-N,N-dimethylurea",CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,233.098,1.811,0.0077692644295532,2.22811874528332
7681494,Sodium fluoride (NaF),[F-].[Na+],41.988,0.0940666666666666,0.002240322631863,2.776412611082072
57837191,"N-(2,6-Dimethylphenyl)-N-(methoxyacetyl)alanine methyl ester",COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,279.336,1.7813599999999998,0.0063771228914282,2.407913078847395
